NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCircElec
2,BROCARD,Blandine,Mme,ENS,Ensemble ! (Majorité présidentielle),6905
3,JOINT,Bastien,M.,LR,Les Républicains,6905
4,BITOUM,Sasha,Mme,RN,Rassemblement National,6905
5,MATTEUCCI,Fabrice,M.,UG,Union de la gauche,6905
6,RIVIERE,Hélène,Mme,EXG,Extrême gauche,6905
1,BASILIEN,Joseph,M.,DIV,Divers,6906
2,AMARD,Gabriel,M.,UG,Union de la gauche,6906
3,BRET,Jean-Paul,M.,DVG,Divers gauche,6906
4,BOUHAMI,Nadia,Mme,EXG,Extrême gauche,6906
5,AGUS,Délia,Mme,RN,Rassemblement National,6906
6,LAWSON DOUTE,Teyi Kekeli,M.,DIV,Divers,6906
7,MIZONY,Raphaëlle,Mme,EXG,Extrême gauche,6906
8,FRAYSSE,Marc,M.,LR,Les Républicains,6906
1,FONTAINE,Myriam,Mme,LR,Les Républicains,6907
2,LAHMAR,Abdelkader,M.,UG,Union de la gauche,6907
3,VINCENDET,Alexandre,M.,ENS,Ensemble ! (Majorité présidentielle),6907
4,PIGNAL,Cédric,M.,RN,Rassemblement National,6907
5,BENON,Régine,Mme,REC,Reconquête !,6907
6,SPREUX,Thomas,M.,EXG,Extrême gauche,6907
1,GERY,Jonathan,M.,RN,Rassemblement National,6908
2,REYMBAUT,Anne,Mme,UG,Union de la gauche,6908
3,TEYSSIER,Tristan,M.,EXG,Extrême gauche,6908
4,FOURBOUL,Xavier,M.,REC,Reconquête !,6908
5,SERRE,Nathalie,Mme,LR,Les Républicains,6908
6,DESPRAS,Dominique,M.,ENS,Ensemble ! (Majorité présidentielle),6908
1,SOUMIREU-LARTIGUE,Jean-Henri,M.,UG,Union de la gauche,6909
2,D'AUTRYVE,Damien,M.,REG,Régionaliste,6909
3,LAURENT,Antoine,M.,ENS,Ensemble ! (Majorité présidentielle),6909
4,LOUIS,Patrick,M.,UXD,Union de l'extrême droite,6909
5,PORTIER,Alexandre,M.,LR,Les Républicains,6909
6,HELLY,Chantal,Mme,EXG,Extrême gauche,6909
1,CRUZ,Sophie,Mme,LR,Les Républicains,6910
2,PATOUT,Cecile,Mme,RN,Rassemblement National,6910
3,GASSILLOUD,Thomas,M.,ENS,Ensemble ! (Majorité présidentielle),6910
4,BERENYI GELEY,Irène,Mme,REC,Reconquête !,6910
5,HORNUS,David,M.,DVD,Divers droite,6910
6,BOMPARD,Gilles,M.,EXG,Extrême gauche,6910
7,PERRIN,Florence Janine Jacqueline,Mme,UG,Union de la gauche,6910
1,BROWNING,Isabelle,Mme,EXG,Extrême gauche,6911
2,FERRO,Cindy,Mme,LR,Les Républicains,6911
3,HUMBERT DUPALAIS,Alexandre,M.,UXD,Union de l'extrême droite,6911
4,SPENNATO,Sophie,Mme,ECO,Ecologistes,6911
5,YOUSFI,Abdel,M.,UG,Union de la gauche,6911
6,FUGIT,Jean-Luc,M.,ENS,Ensemble ! (Majorité présidentielle),6911
1,LUISIER,Clémence,Mme,RN,Rassemblement National,6912
2,CHARMOT,Pascal,M.,LR,Les Républicains,6912
3,GAILLOT DURAND,Lucie,Mme,UG,Union de la gauche,6912
4,ISAAC-SIBILLE,Cyrille,M.,ENS,Ensemble ! (Majorité présidentielle),6912
5,GALLICE,Noémie,Mme,REC,Reconquête !,6912
6,FAURITE,Cécile,Mme,EXG,Extrême gauche,6912
